"","chisquare","df","p-value","nT","chisquare","df","p-value","nT","Sets"
"Number of female aspirants",92.13,6,0,170,1.87,5,0.87,168,87
"Num. aspirants from non-core ethnic groups",79.51,8,0,150,4.65,7,0.7,150,83
"Num. aspirants from party's core ethnic groups",92.1,8,0,150,4.96,7,0.66,148,73
"Num. non-core female aspirants",92.92,9,0,169,2.02,8,0.98,168,84
"Total number of aspirants",94.31,5,0,170,5.28,4,0.26,170,95
"Nominee is female",92.51,7,0,170,0.29,6,1,170,97
"Nominee belongs to party's core ethnic group",167.28,8,0,169,3,7,0.88,169,55
"Nominee is female, non-core group member",137.93,10,0,169,5.4,9,0.8,169,76
"Nominee has only private sector background",116.41,5,0,211,1.34,4,0.85,211,114
"Nominee is the incumbent",57.78,6,0,102,2.67,5,0.75,102,53
