"","Differences in means (missing -- non-missing)","p-value"
"Total number of aspirants, 2012",0.57,0.03
"Number of female aspirants, 2012",0.07,0.39
"Num. aspirants from non-core groups, 2012",0.06,0.74
"Female nominee, 2012",-0.03,0.46
"Incumbent was nominee, 2012",-0.12,0.01
"Private-sector only nominee, 2012",0.04,0.39
"2012 parliamentary vote share",0.03,0.14
"2012 presidential vote share",0.05,0.03
"Ethnic fractionalization of core groups",0,0.92
"Muslim % (constituency)",-0.05,0.01
"Population density (constituency)",1.1,0.16
