"","Estimate","S.E.","$p$-value","n_T","Sets"
"Full data",0.17,0.04,0,168,87
"Noncomp",0.2,0.06,0,57,36
"Comp",0.12,0.07,0.09,62,30
"Strong",0.18,0.09,0.05,48,18
"Full data",0.43,0.12,0,150,83
"Noncomp",0.14,0.21,0.51,52,32
"Comp",0.86,0.18,0,56,28
"Strong",1.37,0.26,0,28,10
"Full data",-0.21,0.12,0.09,148,73
"Noncomp",0.15,0.17,0.39,52,28
"Comp",0.18,0.21,0.41,56,24
"Strong",0.18,0.28,0.52,40,15
"Full data",0.12,0.03,0,168,84
"Noncomp",0.09,0.04,0.04,57,35
"Comp",0.08,0.05,0.1,61,31
"Strong",0.08,0.07,0.29,49,14
"Full data",0.31,0.16,0.06,170,95
"Noncomp",0.71,0.24,0,57,28
"Comp",0.14,0.24,0.56,63,33
"Strong",0.61,0.32,0.06,45,20
"Full data",0.08,0.02,0,170,97
"Noncomp",0.09,0.04,0.01,57,35
"Comp",0.02,0.03,0.49,63,32
"Strong",0.11,0.05,0.04,50,20
"Full data",-0.25,0.03,0,169,55
"Noncomp",-0.06,0.05,0.29,57,17
"Comp",-0.12,0.06,0.05,63,24
"Strong",0.02,0.05,0.7,49,8
"Full data",0.08,0.02,0,169,76
"Noncomp",0.09,0.04,0.01,57,35
"Comp",0.02,0.03,0.49,63,32
"Strong",0.11,0.05,0.04,50,20
"Full data",-0.11,0.03,0,211,114
"Noncomp",-0.23,0.04,0,81,45
"Comp",0,0.04,0.93,73,37
"Strong",0,0.02,1,57,28
"Full data",0.17,0.06,0,102,53
"Comp",0.12,0.09,0.21,46,21
"Strong",0.22,0.08,0.01,51,24
